identifier_vote,date,report,desc,title,for,against,abstention,committee,oeil,mepid,lastname,firstname,result,epgroup,party,start,end,birthdate,country,term
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7107,MAESTRE MARTÍN DE ALMAGRO,Cristina,for,S&D,Partido Socialista Obrero Español,2019-07-02,NA,1975-07-27,es,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,5729,BUŞOI,Cristian-Silviu,for,EPP,Partidul Naţional Liberal,2019-07-02,NA,1978-03-01,ro,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6617,BUDA,Daniel,for,EPP,Partidul Naţional Liberal,2019-07-02,NA,1970-01-11,ro,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7291,BRAUNSBERGER-REINHOLD,Karolin,for,EPP,Christlich Demokratische Union Deutschlands,2021-10-07,NA,NA,de,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6613,BOGOVIČ,Franc,for,EPP,Slovenska ljudska stranka,2019-07-02,NA,1963-02-02,si,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7025,BOGDAN,Ioan-Rareş,for,EPP,Partidul Naţional Liberal,2019-07-02,NA,1974-09-17,ro,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7026,BLAGA,Vasile,for,EPP,Partidul Naţional Liberal,2019-07-02,NA,1956-07-26,ro,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7155,BILČÍK,Vladimír,for,EPP,SPOLU – občianska demokracia,2019-07-02,NA,1975-05-27,sk,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7037,BERNHUBER,Alexander,for,EPP,Österreichische Volkspartei,2019-07-02,NA,1992-05-18,at,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6809,BERGER,Stefan,for,EPP,Christlich Demokratische Union Deutschlands,2019-07-02,NA,1969-09-15,de,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7162,BERENDSEN,Tom,for,EPP,Christen Democratisch Appèl,2019-07-02,NA,1983-04-11,nl,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6807,BENTELE,Hildegard,for,EPP,Christlich Demokratische Union Deutschlands,2019-07-02,NA,1976-05-22,de,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7060,BĂSESCU,Traian,for,EPP,Partidul Mișcarea Populară,2019-07-02,NA,1951-11-04,ro,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7083,ASIMAKOPOULOU,Anna-Michelle,for,EPP,Nea Demokratia,2019-07-02,NA,1967-03-27,gr,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6885,ARŁUKOWICZ,Bartosz,for,EPP,Platforma Obywatelska,2019-07-02,NA,1971-12-30,pl,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6594,ARIMONT,Pascal,for,EPP,Christlich Soziale Partei,2019-07-02,NA,1974-09-25,be,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,5980,ARIAS ECHEVERRÍA,Pablo,for,EPP,Partido Popular,2019-07-02,NA,1970-06-30,es,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7129,AMARO,Álvaro,for,EPP,Partido Social Democrata,2019-07-02,NA,1953-05-25,pt,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7219,ALEXANDROV YORDANOV,Alexander,for,EPP,Union of Democratic Forces,2019-07-02,NA,1952-02-13,bg,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6468,ADINOLFI,Isabella,for,EPP,Forza Italia,2019-07-02,NA,1978-03-27,it,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6755,ADEMOV,Asim,for,EPP,Citizens for European Development of Bulgaria,2019-07-02,NA,1968-12-03,bg,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6883,ADAMOWICZ,Magdalena,for,EPP,Independent,2019-07-02,NA,1973-04-10,pl,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,5879,USPASKICH,Viktor,for,NA,Darbo partija,2019-07-02,NA,1959-07-24,lt,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6471,SONNEBORN,Martin,for,NA,Die PARTEI,2019-07-02,NA,1965-05-15,de,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7242,SINČIĆ,Ivan Vilibor,for,NA,Živi Zid,2019-07-02,NA,1990-08-28,hr,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7177,RONDINELLI,Daniela,for,NA,Movimento 5 Stelle,2019-07-02,NA,1967-08-19,it,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7257,PUIGDEMONT I CASAMAJÓ,Carles,for,NA,Junts per Catalunya - Lliures per Europa,2019-07-02,NA,NA,es,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7276,PONSATÍ OBIOLS,Clara,for,NA,Junts per Catalunya - Lliures per Europa,2020-02-01,NA,1957-03-19,es,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7010,PIGNEDOLI,Sabrina,for,NA,Movimento 5 Stelle,2019-07-02,NA,1983-10-24,it,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7243,GYÖNGYÖSI,Márton,for,NA,Jobbik Magyarországért Mozgalom,2019-07-02,NA,1977-06-08,hu,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7189,GIARRUSSO,Dino,for,NA,Movimento 5 Stelle,2019-07-02,NA,1974-09-11,it,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7179,GEMMA,Chiara,for,NA,Movimento 5 Stelle,2019-07-02,NA,1968-09-20,it,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7180,FURORE,Mario,for,NA,Movimento 5 Stelle,2019-07-02,NA,1988-12-25,it,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6470,FERRARA,Laura,for,NA,Movimento 5 Stelle,2019-07-02,NA,1983-09-11,it,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7258,COMÍN I OLIVERES,Antoni,for,NA,Junts per Catalunya - Lliures per Europa,2019-07-02,NA,1971-03-07,es,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6446,CASTALDO,Fabio Massimo,for,NA,Movimento 5 Stelle,2019-07-02,NA,1985-09-18,it,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6832,BUSCHMANN,Martin,for,NA,Independent,2019-07-02,NA,1970-04-17,de,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6411,BEGHIN,Tiziana,for,NA,Movimento 5 Stelle,2019-07-02,NA,1971-02-04,it,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7172,BONFRISCO,Anna,for,ID,Lega,2019-07-02,NA,1962-10-12,it,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6683,VAN OVERTVELDT,Johan,for,ECR,Nieuw-Vlaamse Alliantie,2019-07-02,NA,1955-08-24,be,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7173,MELBĀRDE,Dace,for,ECR,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",2019-07-02,NA,1971-04-03,lv,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6866,KANKO,Assita,for,ECR,Nieuw-Vlaamse Alliantie,2019-07-02,NA,1980-07-14,be,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6864,BOURGEOIS,Geert,for,ECR,Nieuw-Vlaamse Alliantie,2019-07-02,NA,1951-07-06,be,9
140045,2022-02-17T15:02:00Z,B9-0104/2022,Crise politique au Burkina Faso - Political crisis in Burkina Faso - Die politische Krise in Burkina Faso - RC- - Proposition de résolution (ensemble du texte),Resolution on the political crisis in Burkina Faso,629,10,47,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2542(RSP)&amp;l=en,7006,RIVIÈRE,Jérôme,abstention,ID,Rassemblement national,2019-07-02,NA,1964-07-08,fr,9
140045,2022-02-17T15:02:00Z,B9-0104/2022,Crise politique au Burkina Faso - Political crisis in Burkina Faso - Die politische Krise in Burkina Faso - RC- - Proposition de résolution (ensemble du texte),Resolution on the political crisis in Burkina Faso,629,10,47,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2542(RSP)&amp;l=en,7020,PIRBAKAS,Maxette,abstention,ID,Rassemblement national,2019-07-02,NA,1975-04-14,fr,9
140045,2022-02-17T15:02:00Z,B9-0104/2022,Crise politique au Burkina Faso - Political crisis in Burkina Faso - Die politische Krise in Burkina Faso - RC- - Proposition de résolution (ensemble du texte),Resolution on the political crisis in Burkina Faso,629,10,47,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2542(RSP)&amp;l=en,6836,KOLAKUŠIĆ,Mislav,abstention,NA,-,2019-07-02,NA,1969-09-15,hr,9
140045,2022-02-17T15:02:00Z,B9-0104/2022,Crise politique au Burkina Faso - Political crisis in Burkina Faso - Die politische Krise in Burkina Faso - RC- - Proposition de résolution (ensemble du texte),Resolution on the political crisis in Burkina Faso,629,10,47,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2542(RSP)&amp;l=en,7071,COLLARD,Gilbert,abstention,ID,Rassemblement national,2019-07-02,NA,1948-02-03,fr,9
140045,2022-02-17T15:02:00Z,B9-0104/2022,Crise politique au Burkina Faso - Political crisis in Burkina Faso - Die politische Krise in Burkina Faso - RC- - Proposition de résolution (ensemble du texte),Resolution on the political crisis in Burkina Faso,629,10,47,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2542(RSP)&amp;l=en,6394,BAY,Nicolas,abstention,ID,Rassemblement national,2019-07-02,NA,1977-12-21,fr,9
140045,2022-02-17T15:02:00Z,B9-0104/2022,Crise politique au Burkina Faso - Political crisis in Burkina Faso - Die politische Krise in Burkina Faso - RC- - Proposition de résolution (ensemble du texte),Resolution on the political crisis in Burkina Faso,629,10,47,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2542(RSP)&amp;l=en,6882,ZIMNIOK,Bernhard,abstention,ID,Alternative für Deutschland,2019-07-02,NA,1953-06-21,de,9
140045,2022-02-17T15:02:00Z,B9-0104/2022,Crise politique au Burkina Faso - Political crisis in Burkina Faso - Die politische Krise in Burkina Faso - RC- - Proposition de résolution (ensemble du texte),Resolution on the political crisis in Burkina Faso,629,10,47,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2542(RSP)&amp;l=en,6610,VILIMSKY,Harald,abstention,ID,Freiheitliche Partei Österreichs,2019-07-02,NA,1966-07-22,at,9
140045,2022-02-17T15:02:00Z,B9-0104/2022,Crise politique au Burkina Faso - Political crisis in Burkina Faso - Die politische Krise in Burkina Faso - RC- - Proposition de résolution (ensemble du texte),Resolution on the political crisis in Burkina Faso,629,10,47,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2542(RSP)&amp;l=en,7078,ROUGÉ,André,abstention,ID,Rassemblement national,2019-07-02,NA,1961-12-23,fr,9
140045,2022-02-17T15:02:00Z,B9-0104/2022,Crise politique au Burkina Faso - Political crisis in Burkina Faso - Die politische Krise in Burkina Faso - RC- - Proposition de résolution (ensemble du texte),Resolution on the political crisis in Burkina Faso,629,10,47,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2542(RSP)&amp;l=en,6881,REIL,Guido,abstention,ID,Alternative für Deutschland,2019-07-02,NA,1970-01-19,de,9
140045,2022-02-17T15:02:00Z,B9-0104/2022,Crise politique au Burkina Faso - Political crisis in Burkina Faso - Die politische Krise in Burkina Faso - RC- - Proposition de résolution (ensemble du texte),Resolution on the political crisis in Burkina Faso,629,10,47,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2542(RSP)&amp;l=en,7075,OLIVIER,Philippe,abstention,ID,Rassemblement national,2019-07-02,NA,1961-08-30,fr,9
140045,2022-02-17T15:02:00Z,B9-0104/2022,Crise politique au Burkina Faso - Political crisis in Burkina Faso - Die politische Krise in Burkina Faso - RC- - Proposition de résolution (ensemble du texte),Resolution on the political crisis in Burkina Faso,629,10,47,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2542(RSP)&amp;l=en,6399,MÉLIN,Joëlle,abstention,ID,Rassemblement national,2019-07-02,NA,1950-03-26,fr,9
140045,2022-02-17T15:02:00Z,B9-0104/2022,Crise politique au Burkina Faso - Political crisis in Burkina Faso - Die politische Krise in Burkina Faso - RC- - Proposition de résolution (ensemble du texte),Resolution on the political crisis in Burkina Faso,629,10,47,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2542(RSP)&amp;l=en,6627,MAYER,Georg,abstention,ID,Freiheitliche Partei Österreichs,2019-07-02,NA,1973-10-12,at,9
140045,2022-02-17T15:02:00Z,B9-0104/2022,Crise politique au Burkina Faso - Political crisis in Burkina Faso - Die politische Krise in Burkina Faso - RC- - Proposition de résolution (ensemble du texte),Resolution on the political crisis in Burkina Faso,629,10,47,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2542(RSP)&amp;l=en,7013,MARIANI,Thierry,abstention,ID,Rassemblement national,2019-07-02,NA,1958-08-08,fr,9
140045,2022-02-17T15:02:00Z,B9-0104/2022,Crise politique au Burkina Faso - Political crisis in Burkina Faso - Die politische Krise in Burkina Faso - RC- - Proposition de résolution (ensemble du texte),Resolution on the political crisis in Burkina Faso,629,10,47,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2542(RSP)&amp;l=en,6886,MADISON,Jaak,abstention,ID,Eesti Konservatiivne Rahvaerakond,2019-07-02,NA,1991-04-22,ee,9
140045,2022-02-17T15:02:00Z,B9-0104/2022,Crise politique au Burkina Faso - Political crisis in Burkina Faso - Die politische Krise in Burkina Faso - RC- - Proposition de résolution (ensemble du texte),Resolution on the political crisis in Burkina Faso,629,10,47,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2542(RSP)&amp;l=en,6880,LIMMER,Sylvia,abstention,ID,Alternative für Deutschland,2019-07-02,NA,1966-02-08,de,9
140045,2022-02-17T15:02:00Z,B9-0104/2022,Crise politique au Burkina Faso - Political crisis in Burkina Faso - Die politische Krise in Burkina Faso - RC- - Proposition de résolution (ensemble du texte),Resolution on the political crisis in Burkina Faso,629,10,47,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2542(RSP)&amp;l=en,7074,LECHANTEUX,Julie,abstention,ID,Rassemblement national,2019-07-02,NA,1977-12-22,fr,9
140045,2022-02-17T15:02:00Z,B9-0104/2022,Crise politique au Burkina Faso - Political crisis in Burkina Faso - Die politische Krise in Burkina Faso - RC- - Proposition de résolution (ensemble du texte),Resolution on the political crisis in Burkina Faso,629,10,47,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2542(RSP)&amp;l=en,6372,LEBRETON,Gilles,abstention,ID,Rassemblement national,2019-07-02,NA,1958-10-11,fr,9
140045,2022-02-17T15:02:00Z,B9-0104/2022,Crise politique au Burkina Faso - Political crisis in Burkina Faso - Die politische Krise in Burkina Faso - RC- - Proposition de résolution (ensemble du texte),Resolution on the political crisis in Burkina Faso,629,10,47,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2542(RSP)&amp;l=en,6990,LAPORTE,Hélène,abstention,ID,Rassemblement national,2019-07-02,NA,1978-12-29,fr,9
140045,2022-02-17T15:02:00Z,B9-0104/2022,Crise politique au Burkina Faso - Political crisis in Burkina Faso - Die politische Krise in Burkina Faso - RC- - Proposition de résolution (ensemble du texte),Resolution on the political crisis in Burkina Faso,629,10,47,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2542(RSP)&amp;l=en,7275,LACAPELLE,Jean-Lin,abstention,ID,Rassemblement national,2020-02-01,NA,1967-04-17,fr,9
140045,2022-02-17T15:02:00Z,B9-0104/2022,Crise politique au Burkina Faso - Political crisis in Burkina Faso - Die politische Krise in Burkina Faso - RC- - Proposition de résolution (ensemble du texte),Resolution on the political crisis in Burkina Faso,629,10,47,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2542(RSP)&amp;l=en,6879,KUHS,Joachim,abstention,ID,Alternative für Deutschland,2019-07-02,NA,1956-06-25,de,9
140045,2022-02-17T15:02:00Z,B9-0104/2022,Crise politique au Burkina Faso - Political crisis in Burkina Faso - Die politische Krise in Burkina Faso - RC- - Proposition de résolution (ensemble du texte),Resolution on the political crisis in Burkina Faso,629,10,47,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2542(RSP)&amp;l=en,6878,KRAH,Maximilian,abstention,ID,Alternative für Deutschland,2019-07-02,NA,1977-01-28,de,9
140045,2022-02-17T15:02:00Z,B9-0104/2022,Crise politique au Burkina Faso - Political crisis in Burkina Faso - Die politische Krise in Burkina Faso - RC- - Proposition de résolution (ensemble du texte),Resolution on the political crisis in Burkina Faso,629,10,47,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2542(RSP)&amp;l=en,6960,KOFOD,Peter,abstention,ID,Dansk Folkeparti,2019-07-02,NA,1990-02-27,dk,9
140045,2022-02-17T15:02:00Z,B9-0104/2022,Crise politique au Burkina Faso - Political crisis in Burkina Faso - Die politische Krise in Burkina Faso - RC- - Proposition de résolution (ensemble du texte),Resolution on the political crisis in Burkina Faso,629,10,47,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2542(RSP)&amp;l=en,7016,JUVIN,Herve,abstention,ID,Rassemblement national,2019-07-02,NA,1956-01-29,fr,9
